id,cuisine
14560,italian
49682,filipino
25905,southern_us
12284,italian
3958,chinese
11290,greek
8504,southern_us
41218,italian
45044,southern_us
1093,vietnamese
31058,chinese
17939,italian
47820,italian
29691,mexican
43448,mexican
45048,southern_us
12616,french
43000,mexican
2839,mexican
33674,korean
13451,mexican
1631,italian
37702,mexican
3421,british
19162,italian
13737,mexican
26448,mexican
19333,thai
23980,british
3072,mexican
10766,filipino
40744,french
19507,mexican
37272,italian
47942,japanese
10880,italian
41618,greek
14791,indian
25009,greek
12007,spanish
31572,mexican
43880,chinese
46867,russian
31109,italian
34403,southern_us
36515,italian
20131,chinese
13465,french
45512,indian
4013,southern_us
18946,italian
21097,mexican
12894,italian
36767,italian
7909,indian
232,indian
4248,chinese
48956,southern_us
25797,italian
49145,japanese
16029,italian
32119,southern_us
41493,cajun_creole
12952,japanese
31624,indian
45265,greek
41703,mexican
12450,spanish
7702,chinese
21136,cajun_creole
17575,southern_us
720,italian
21630,chinese
39193,italian
9283,jamaican
16839,chinese
26528,cajun_creole
9222,italian
12724,southern_us
34573,brazilian
31907,vietnamese
16767,italian
39230,italian
32065,thai
48949,italian
660,moroccan
4891,russian
39216,greek
2457,southern_us
6421,chinese
38008,chinese
2762,irish
4444,southern_us
10885,italian
48019,indian
13952,mexican
12471,italian
12708,mexican
25680,indian
49436,french
28842,thai
22145,mexican
17245,mexican
45743,southern_us
28812,chinese
33199,italian
18117,mexican
24020,italian
18601,cajun_creole
11656,italian
15685,italian
15820,mexican
43754,mexican
27828,italian
1537,french
12187,thai
41816,southern_us
32122,italian
456,mexican
6661,mexican
42995,italian
29452,french
17513,mexican
25979,french
44094,japanese
1846,mexican
37323,italian
12846,spanish
38023,italian
3185,italian
455,indian
22620,moroccan
7082,filipino
34443,mexican
42613,british
22513,chinese
15948,italian
8544,southern_us
32929,italian
39454,italian
33475,italian
26588,indian
18609,thai
8302,british
29938,french
15754,french
30701,chinese
3193,italian
2989,french
39142,filipino
44645,southern_us
12664,mexican
39074,italian
37183,indian
6848,italian
38131,cajun_creole
11429,italian
2030,japanese
19558,japanese
6793,mexican
31575,italian
49428,russian
42902,italian
3289,italian
29156,indian
30957,mexican
3874,indian
4141,moroccan
38386,greek
45617,mexican
26014,thai
38556,mexican
40258,moroccan
6334,southern_us
8052,indian
1855,chinese
6859,moroccan
8032,moroccan
6672,mexican
12223,italian
44162,british
17460,chinese
20293,greek
12605,vietnamese
13620,italian
6632,italian
37248,italian
40382,british
28794,indian
12793,mexican
10127,chinese
38268,italian
43674,greek
15935,southern_us
45217,chinese
34775,italian
13975,french
31225,chinese
13186,southern_us
13832,mexican
20230,mexican
48673,southern_us
43426,mexican
46438,japanese
20290,italian
38836,mexican
6667,vietnamese
35977,japanese
47569,chinese
25490,brazilian
40037,italian
10751,indian
9087,indian
8735,mexican
38022,indian
15198,cajun_creole
12088,jamaican
14253,mexican
30754,cajun_creole
22151,southern_us
46267,french
16834,indian
40840,indian
11327,russian
25855,italian
47343,thai
19782,japanese
7552,korean
16316,french
642,chinese
9850,southern_us
22208,french
40665,filipino
36783,italian
6323,chinese
48485,italian
27492,thai
21868,mexican
32601,moroccan
25277,italian
19253,thai
4692,french
3379,vietnamese
33801,italian
35388,indian
32870,irish
38679,mexican
21948,french
29869,british
22684,chinese
7066,italian
43040,chinese
14346,french
39130,moroccan
35956,indian
43154,french
1440,mexican
2369,indian
22949,cajun_creole
27992,italian
20913,chinese
28751,mexican
44913,italian
5817,chinese
43914,italian
39352,mexican
13742,italian
3917,french
45564,mexican
48726,moroccan
12068,indian
30968,indian
42038,russian
31740,southern_us
43658,vietnamese
1318,southern_us
10350,italian
45032,japanese
22901,indian
25222,brazilian
20356,indian
43414,cajun_creole
20585,indian
46535,italian
35651,southern_us
4531,brazilian
11942,korean
42875,italian
43802,italian
19131,southern_us
32777,cajun_creole
34990,southern_us
21248,brazilian
37346,korean
5492,italian
37300,indian
13110,italian
11770,mexican
28605,italian
