id,cuisine
32770,thai
5,mexican
32774,southern_us
7,indian
11,thai
12,southern_us
13,southern_us
32783,chinese
38232,italian
18,italian
32789,indian
23,spanish
26,russian
32796,indian
32800,cajun_creole
35,mexican
36,italian
32806,cajun_creole
42,indian
32813,chinese
47,indian
51,greek
52,chinese
57,mexican
32830,french
66,mexican
32836,thai
32838,italian
32839,japanese
32843,french
32852,mexican
85,french
32854,cajun_creole
32866,cajun_creole
32869,british
32871,thai
32873,thai
5479,mexican
32786,indian
32883,southern_us
32884,italian
117,italian
32889,italian
122,mexican
123,mexican
32892,italian
32893,vietnamese
32894,mexican
130,thai
131,mexican
49174,irish
142,mexican
144,chinese
32915,italian
32918,cajun_creole
32924,french
32925,spanish
32928,japanese
164,moroccan
32933,mexican
166,mexican
32935,italian
28,vietnamese
32939,british
172,irish
173,chinese
32949,greek
182,italian
183,italian
188,russian
10954,chinese
191,indian
32960,italian
16417,southern_us
32968,mexican
32970,french
210,southern_us
32982,jamaican
32985,mexican
219,mexican
32989,cajun_creole
32991,mexican
224,greek
32993,italian
226,french
227,italian
229,moroccan
235,mexican
236,indian
240,italian
246,mexican
247,southern_us
249,mexican
33018,filipino
253,chinese
256,italian
257,mexican
263,italian
33033,chinese
43736,southern_us
278,southern_us
286,indian
33061,vietnamese
33063,mexican
33064,mexican
299,indian
300,mexican
33072,french
38280,indian
32819,italian
308,moroccan
33077,cajun_creole
313,cajun_creole
316,cajun_creole
325,italian
326,vietnamese
327,indian
2193,british
329,italian
33106,mexican
339,jamaican
33108,indian
33109,thai
344,mexican
350,italian
33120,japanese
33121,chinese
33129,italian
33137,thai
370,brazilian
33139,moroccan
373,indian
33143,mexican
376,british
378,korean
381,mexican
384,japanese
33155,cajun_creole
388,chinese
391,italian
392,spanish
33163,chinese
33164,italian
33165,mexican
33170,cajun_creole
403,italian
404,italian
13107,vietnamese
411,southern_us
416,southern_us
418,indian
423,mexican
425,cajun_creole
71,italian
431,vietnamese
434,italian
33206,mexican
439,chinese
440,italian
445,cajun_creole
33214,vietnamese
33224,thai
460,thai
466,british
480,chinese
482,indian
33251,italian
489,mexican
33258,moroccan
33264,italian
33265,italian
498,thai
33267,cajun_creole
33269,italian
33274,southern_us
511,korean
33281,moroccan
17,italian
33285,cajun_creole
33286,thai
33287,indian
520,chinese
525,british
526,cajun_creole
527,japanese
530,spanish
33300,british
5550,indian
33302,greek
33305,indian
538,cajun_creole
33309,french
542,chinese
544,chinese
33316,italian
33326,southern_us
564,mexican
565,korean
33336,french
569,southern_us
573,mexican
33342,mexican
33346,southern_us
579,cajun_creole
582,italian
584,cajun_creole
585,jamaican
586,mexican
587,southern_us
33358,moroccan
33367,mexican
33369,mexican
33370,japanese
603,italian
606,korean
607,italian
33377,thai
33378,italian
33379,french
33384,cajun_creole
33387,italian
622,spanish
33392,chinese
33399,indian
633,indian
634,indian
635,chinese
33406,thai
643,french
5569,cajun_creole
649,mexican
33418,mexican
656,mexican
665,jamaican
668,jamaican
33437,indian
33438,chinese
33443,italian
676,italian
678,greek
33447,british
33448,indian
685,french
33455,southern_us
688,mexican
33457,mexican
33460,italian
694,french
33468,chinese
701,southern_us
705,french
708,irish
712,thai
33483,southern_us
716,cajun_creole
719,irish
721,southern_us
723,moroccan
725,spanish
728,thai
21967,italian
732,thai
33503,vietnamese
737,indian
738,indian
741,italian
743,chinese
744,french
33522,thai
33523,chinese
761,french
762,chinese
33534,italian
767,chinese
768,chinese
770,chinese
771,italian
774,french
33544,mexican
777,italian
778,chinese
781,indian
784,southern_us
33553,italian
789,mexican
33560,chinese
795,irish
797,thai
133,thai
805,indian
807,vietnamese
809,italian
811,cajun_creole
33580,italian
813,italian
33582,korean
817,italian
822,italian
823,italian
824,french
825,thai
828,french
33598,moroccan
43829,cajun_creole
832,chinese
5600,cajun_creole
33602,moroccan
33604,cajun_creole
838,thai
33614,russian
853,russian
33623,cajun_creole
33624,mexican
33625,southern_us
33629,jamaican
5605,italian
33632,italian
867,southern_us
868,southern_us
16529,spanish
872,southern_us
876,cajun_creole
877,indian
33646,southern_us
33651,jamaican
884,mexican
33661,italian
33665,greek
33667,vietnamese
33675,cajun_creole
908,indian
33677,mexican
33682,moroccan
33684,russian
918,chinese
33687,italian
33691,japanese
33692,cajun_creole
926,chinese
33705,mexican
939,korean
941,mexican
33712,southern_us
33713,italian
33714,irish
948,italian
949,italian
33718,moroccan
33719,cajun_creole
33720,thai
33722,indian
33725,french
33728,indian
33729,mexican
33733,chinese
974,moroccan
975,french
979,cajun_creole
987,southern_us
988,thai
989,italian
33758,spanish
33759,italian
33761,chinese
33763,mexican
32934,japanese
33767,mexican
1001,indian
33770,cajun_creole
33773,irish
5489,chinese
1011,mexican
33780,italian
1013,mexican
1014,russian
169,indian
1017,italian
33790,greek
33791,korean
33793,italian
1027,thai
33798,french
1032,cajun_creole
33802,italian
43863,mexican
1038,british
38224,cajun_creole
33813,indian
1053,italian
33824,italian
33826,thai
33829,thai
1063,indian
1064,cajun_creole
33834,mexican
33840,russian
1073,cajun_creole
33842,mexican
1083,british
1084,thai
33855,southern_us
33856,chinese
1089,moroccan
33861,chinese
11106,chinese
33874,cajun_creole
1107,italian
1108,cajun_creole
1119,french
1120,spanish
1125,thai
5649,chinese
1130,moroccan
1132,cajun_creole
1135,southern_us
1139,mexican
33911,mexican
1147,italian
1150,irish
192,thai
33922,thai
1156,chinese
1158,cajun_creole
1162,thai
33934,cajun_creole
33937,filipino
33940,mexican
33941,mexican
33943,southern_us
1177,moroccan
33947,mexican
33950,italian
1184,chinese
33953,cajun_creole
33955,vietnamese
1189,italian
1192,southern_us
38428,southern_us
1195,italian
1200,southern_us
1201,russian
1203,cajun_creole
33972,cajun_creole
1205,southern_us
1214,cajun_creole
33983,russian
33985,russian
1218,chinese
1221,indian
12043,mexican
1231,indian
1232,moroccan
34002,indian
34003,vietnamese
11129,cajun_creole
34010,french
34020,italian
34021,jamaican
1255,mexican
1257,italian
1259,vietnamese
34030,brazilian
34033,southern_us
16595,japanese
34036,chinese
1270,indian
1280,southern_us
34049,chinese
34055,italian
1289,mexican
1293,italian
34063,cajun_creole
34065,italian
34066,mexican
1300,moroccan
1301,italian
47145,italian
34074,chinese
5499,italian
34077,japanese
34078,chinese
34081,vietnamese
1317,thai
1322,italian
34092,cajun_creole
34095,southern_us
34097,jamaican
34102,indian
1336,italian
1337,southern_us
1338,indian
1339,indian
34109,chinese
34113,chinese
34120,indian
1353,chinese
1354,thai
32994,southern_us
32995,mexican
34136,mexican
1370,french
34141,italian
34143,moroccan
1377,southern_us
1384,chinese
1385,french
1388,southern_us
34160,mexican
34162,indian
34164,russian
1397,mexican
34166,cajun_creole
1400,cajun_creole
1405,moroccan
34175,southern_us
1409,cajun_creole
1411,thai
1414,chinese
1417,french
34186,southern_us
34189,mexican
1423,indian
34194,italian
34195,vietnamese
34196,moroccan
1429,filipino
34201,british
34210,french
1443,mexican
34212,spanish
34214,italian
34216,southern_us
1449,italian
1450,chinese
1451,indian
34221,italian
1454,chinese
34229,chinese
34234,southern_us
1467,cajun_creole
34236,southern_us
1475,french
34244,indian
1482,korean
34251,cajun_creole
34252,thai
1485,greek
1488,chinese
33017,spanish
34265,southern_us
1499,british
34269,southern_us
34271,mexican
1505,cajun_creole
1508,cajun_creole
34278,thai
34280,french
1513,korean
34282,thai
1519,mexican
1520,french
34289,southern_us
34294,french
34297,cajun_creole
1530,italian
1532,cajun_creole
1534,indian
1535,mexican
1536,thai
34305,chinese
1539,thai
1541,mexican
34310,southern_us
1544,indian
1550,mexican
34322,italian
34323,french
1556,indian
34326,italian
34328,chinese
43951,chinese
34333,indian
1569,chinese
1570,spanish
1572,indian
1573,italian
34343,jamaican
1576,french
34346,italian
34348,french
34349,spanish
34351,cajun_creole
34353,italian
34354,southern_us
34355,italian
34356,italian
34359,mexican
34363,italian
1599,italian
49419,cajun_creole
1607,chinese
34376,italian
43959,russian
34390,italian
1623,italian
1627,italian
1628,mexican
1632,indian
1634,southern_us
1636,southern_us
34405,thai
1638,italian
1645,chinese
43965,french
1653,mexican
1655,irish
1656,southern_us
1658,chinese
34427,cajun_creole
34428,southern_us
34431,french
1664,mexican
1668,indian
34438,italian
1676,french
1684,italian
34457,vietnamese
34459,spanish
1692,british
34461,thai
34470,moroccan
34476,vietnamese
34479,vietnamese
34481,italian
34484,cajun_creole
34487,indian
1721,cajun_creole
1725,mexican
34494,italian
34495,cajun_creole
34497,cajun_creole
34498,mexican
11211,chinese
1733,chinese
1735,indian
34505,chinese
1740,moroccan
1745,chinese
34515,chinese
1749,chinese
1751,cajun_creole
1754,cajun_creole
1757,chinese
1759,cajun_creole
34531,mexican
34532,italian
1766,mexican
34536,italian
1784,mexican
1785,brazilian
34558,chinese
5760,italian
1795,southern_us
1796,cajun_creole
34566,italian
34569,russian
43991,southern_us
1808,french
34580,chinese
1815,italian
39341,cajun_creole
1820,italian
34596,indian
34597,thai
33073,indian
34601,southern_us
34602,southern_us
34603,chinese
34606,french
34607,chinese
1843,filipino
34614,mexican
34616,cajun_creole
38538,southern_us
34629,southern_us
34630,indian
1866,southern_us
1868,italian
34637,italian
34638,chinese
34639,thai
34641,chinese
34645,southern_us
33081,italian
34663,southern_us
33084,russian
34666,thai
34667,cajun_creole
1900,mexican
5778,southern_us
1902,chinese
1909,italian
46982,southern_us
38548,greek
1920,korean
34689,cajun_creole
34698,mexican
1932,cajun_creole
34704,french
1939,mexican
34708,french
34711,thai
34712,chinese
34713,vietnamese
34714,thai
1948,indian
1949,mexican
1952,southern_us
1953,italian
34723,mexican
34724,southern_us
1960,russian
1963,southern_us
34732,french
34733,vietnamese
34735,cajun_creole
34741,mexican
1974,moroccan
1975,southern_us
1977,korean
1978,irish
1981,mexican
1985,british
34754,thai
1987,italian
1988,mexican
1989,french
34760,irish
34762,italian
34763,italian
1996,moroccan
1999,chinese
34772,southern_us
34773,korean
44803,greek
2013,british
2014,indian
34783,italian
2021,thai
34790,cajun_creole
34798,italian
2031,cajun_creole
45895,spanish
34803,chinese
2040,chinese
34809,cajun_creole
11263,thai
34812,indian
34815,indian
34818,indian
2052,italian
16726,mexican
38572,italian
34828,cajun_creole
2063,french
33112,italian
34835,british
34837,italian
34839,thai
2075,cajun_creole
2078,british
2083,italian
2084,spanish
2086,cajun_creole
2090,spanish
2092,french
34863,cajun_creole
2099,indian
33118,chinese
34870,indian
34872,mexican
34873,chinese
2110,italian
34880,italian
34881,southern_us
2114,greek
2117,mexican
2118,chinese
2121,chinese
2131,cajun_creole
34900,southern_us
2133,mexican
34903,southern_us
2136,jamaican
34909,southern_us
2144,mexican
2146,mexican
34916,italian
2149,mexican
34919,indian
2159,british
2163,southern_us
2164,russian
34937,french
34940,french
2174,cajun_creole
34944,cajun_creole
34949,french
34951,french
2184,indian
2185,chinese
2187,cajun_creole
34959,italian
2192,mexican
44056,cajun_creole
34967,mexican
34970,italian
34971,thai
34973,southern_us
34975,mexican
2208,french
34977,indian
34980,italian
34991,indian
2224,cajun_creole
2226,italian
2229,southern_us
2231,mexican
2232,chinese
35002,indian
2236,italian
2237,mexican
35006,southern_us
35008,italian
2242,french
2243,moroccan
2244,italian
2245,southern_us
35014,indian
35021,italian
2254,brazilian
35031,mexican
2268,southern_us
35038,jamaican
35042,mexican
2280,southern_us
35049,italian
35051,italian
2284,vietnamese
33149,cajun_creole
35057,british
35060,mexican
35063,chinese
35065,thai
35066,thai
35068,southern_us
35074,southern_us
2308,italian
49537,indian
2314,cajun_creole
2316,italian
2317,chinese
11309,french
35092,spanish
44078,thai
2329,italian
35099,mexican
35100,thai
2334,korean
2336,mexican
35105,thai
2338,cajun_creole
35109,chinese
35110,mexican
35126,indian
35128,southern_us
44084,korean
2366,southern_us
35141,southern_us
2377,mexican
35146,british
2379,spanish
2380,mexican
2381,mexican
35155,british
35156,italian
35160,vietnamese
2396,thai
35168,mexican
2404,indian
35173,southern_us
2406,spanish
35181,southern_us
2419,chinese
2421,mexican
35190,greek
2427,italian
35196,mexican
2429,italian
2263,vietnamese
35200,cajun_creole
35203,french
35209,mexican
35214,chinese
2447,french
2448,southern_us
2450,mexican
2452,italian
35221,mexican
35223,southern_us
35224,thai
35225,mexican
2459,french
35229,mexican
2464,italian
35238,cajun_creole
2471,indian
35240,southern_us
2473,mexican
2474,cajun_creole
35246,mexican
35249,chinese
2483,indian
2484,greek
2489,french
35258,italian
2492,chinese
2493,british
35262,mexican
2510,mexican
2511,korean
35281,indian
35283,greek
49572,indian
35292,french
2526,italian
2532,southern_us
35306,cajun_creole
2539,russian
35313,mexican
2547,french
35320,mexican
35321,chinese
2554,southern_us
35326,indian
11350,italian
2567,chinese
35345,chinese
2579,indian
2580,mexican
35353,brazilian
2588,cajun_creole
35359,italian
35360,jamaican
2593,cajun_creole
35366,chinese
35369,japanese
35370,french
2608,southern_us
35383,thai
35385,indian
35387,southern_us
35391,italian
35394,japanese
35396,southern_us
2629,mexican
35400,italian
2633,chinese
35402,italian
35410,southern_us
44131,indian
35412,italian
2648,korean
2649,spanish
35421,mexican
2669,italian
35442,mexican
2675,mexican
2676,southern_us
35447,filipino
2680,irish
35451,southern_us
2684,greek
2685,mexican
2688,mexican
35461,thai
35468,southern_us
2701,cajun_creole
35474,mexican
2711,southern_us
35482,french
2716,french
5914,chinese
2718,mexican
35488,cajun_creole
2721,southern_us
2728,italian
35499,vietnamese
35502,mexican
2740,southern_us
2746,mexican
35515,greek
35517,cajun_creole
2751,indian
35525,mexican
49612,italian
35530,chinese
2766,thai
16845,chinese
2769,italian
2771,italian
49614,mexican
2774,indian
35543,italian
2777,greek
35549,mexican
2784,spanish
2786,indian
2787,spanish
35556,mexican
2789,mexican
35558,indian
35560,japanese
35561,chinese
35563,italian
35565,italian
2803,mexican
35576,french
2812,southern_us
35581,cajun_creole
44160,italian
35589,indian
2823,vietnamese
49623,italian
2828,chinese
35597,italian
35598,cajun_creole
2833,mexican
35604,italian
35605,chinese
2838,indian
35610,french
2848,mexican
2853,southern_us
35625,indian
2860,mexican
35629,italian
2864,indian
35636,indian
2869,mexican
2870,southern_us
5940,british
2875,chinese
35644,french
2878,southern_us
35648,thai
2881,italian
35650,cajun_creole
35662,chinese
35665,japanese
35667,indian
44174,mexican
35670,italian
35675,thai
2913,thai
35683,french
35685,indian
35686,mexican
35687,italian
2924,mexican
35695,french
35698,southern_us
35699,moroccan
2933,cajun_creole
2938,cajun_creole
2940,french
2942,indian
2943,italian
2944,indian
35713,southern_us
2954,filipino
35726,indian
35731,mexican
2964,mexican
2970,moroccan
35740,mexican
35742,chinese
35746,korean
2981,southern_us
35750,chinese
35753,italian
35754,indian
35755,spanish
2990,moroccan
2991,mexican
35760,italian
35762,french
2996,italian
2999,southern_us
3001,indian
35770,mexican
35772,italian
3006,chinese
3009,cajun_creole
3010,southern_us
3014,italian
3015,italian
3016,indian
16887,italian
3020,korean
35790,southern_us
3024,british
3026,chinese
3029,southern_us
35798,italian
3031,british
35806,mexican
35809,southern_us
3045,mexican
35820,southern_us
35825,italian
35829,french
